1, 2, 3, 4, 5, 6, 7, 8, 9, 10
164.123, 303.076, 358.594, 378.931, 390.442, 398.274, 405.139, 410.025, 411.053, 413.24
159.923, 295.116, 355.619, 374.777, 385.535, 394.451, 400.114, 405.002, 407.185, 408.68
155.063, 284.252, 354.317, 371.678, 383.054, 391.926, 398.293, 401.808, 404.804, 406.603
153.752, 282.048, 355.577, 373.204, 385.089, 393.391, 398.951, 404.367, 405.077, 406.62
154.56, 284.051, 353.399, 371.782, 383.642, 390.778, 398.089, 402.253, 403.208, 405.268
159.923, 293.126, 353.69, 372.891, 383.907, 391.568, 395.749, 401.526, 403.479, 405.318
155.039, 291.928, 354.526, 372.613, 383.083, 391.007, 397.298, 402.091, 404.331, 406.421
157.431, 297.708, 354.652, 374.111, 386.1, 392.49, 400.503, 403.755, 404.858, 408.197
159.744, 294.638, 354.233, 373.169, 384.645, 391.16, 397.501, 401.768, 404.24, 406.984
153.61, 281.057, 354.946, 372.093, 382.673, 391.619, 397.389, 401.687, 402.721, 405.877
147.362, 276.129, 355.198, 372.926, 384.615, 390.066, 397.705, 401.445, 404.44, 406.025
157.307, 288.934, 353.815, 372.544, 383.318, 390.472, 398.157, 402.475, 404.494, 407.034
148.126, 285.592, 359.109, 381.352, 394.197, 401.284, 407.783, 412.988, 415.263, 418.498
158.629, 272.554, 358.895, 379.183, 392.157, 400.454, 406.906, 411.586, 413.451, 415.3
159.744, 285.592, 356.718, 375.094, 386.548, 394.555, 401.399, 406.835, 407.664, 410.678
152.277, 280.584, 354.82, 373.518, 385.624, 393.597, 399.657, 403.959, 405.168, 408.03
151.906, 281.452, 355.366, 372.856, 383.289, 390.701, 399.224, 403.084, 403.208, 406.488
154.943, 283.286, 354.61, 372.37, 382.468, 392.054, 398.293, 401.97, 403.732, 405.976
154.059, 282.167, 353.941, 372.787, 382.966, 389.282, 396.511, 401.083, 402.955, 404.94
162.575, 299.67, 353.274, 371.575, 382.878, 390.676, 397.795, 401.043, 402.847, 405.466
154.369, 275.862, 353.232, 372.093, 383.23, 389.813, 395.771, 401.425, 403.569, 404.94
154.178, 282.725, 354.317, 371.333, 383.377, 390.6, 397.343, 402.071, 402.343, 405.597
152.975, 279.408, 354.275, 371.023, 382.088, 389.636, 396.938, 401.768, 402.037, 404.645
154.512, 283.366, 354.862, 373.065, 384.645, 391.389, 397.298, 401.97, 401.804, 405.91
159.439, 293.298, 358.98, 378.788, 391.053, 400.748, 407.807, 412.861, 415.206, 418.533
152.952, 281.136, 359.238, 376.967, 389.105, 397.588, 404.18, 407.914, 409.035, 411.862
153.894, 281.017, 355.072, 373.762, 385, 393.882, 400.114, 403.735, 405.515, 408.864
145.455, 267.094, 355.282, 372.995, 385.475, 392.311, 397.682, 403.551, 403.678, 406.901
159.134, 289.645, 355.198, 373.378, 384.527, 392.542, 398.044, 402.05, 404.004, 408.013
153.421, 267.094, 353.44, 372.162, 384.911, 392.08, 396.69, 401.768, 403.841, 405.696
157.555, 290.951, 353.066, 371.575, 382.76, 390.092, 397.614, 400.802, 403.226, 405.762
154.464, 282.287, 354.526, 372.578, 383.171, 390.219, 397.456, 400.721, 403.117, 406.785
152.253, 277.816, 353.607, 371.471, 382.059, 389.788, 395.816, 400.982, 403.081, 404.613
153.87, 280.623, 354.233, 372.474, 382.76, 389.13, 394.544, 400.08, 400.552, 405.268
153.069, 278.474, 353.274, 371.126, 383.406, 389.889, 396.421, 401.183, 401.983, 406.454
158.003, 290.318, 352.692, 370.92, 382.409, 388.979, 395.324, 399.92, 401.911, 405.121
