1, 2, 3, 4, 5, 6, 7, 8, 9, 10
684.463, 914.184, 1002.34, 1007.3, 1013.58, 1013.86, 1014.2, 1015.87, 1015.69, 1014.61
704.722, 958.773, 985.222, 993.295, 999.001, 998.17, 1000.57, 1003.01, 998.89, 998.602
687.758, 961.076, 982.318, 992.063, 997.009, 997.175, 996.725, 995.396, 995.135, 991.179
710.227, 964.785, 983.607, 992.063, 997.606, 994.036, 993.754, 994.406, 993.597, 988.24
681.663, 962.001, 982.318, 992.063, 996.612, 989.772, 992.345, 990.712, 988.685, 984.058
720.461, 962.001, 982.962, 993.542, 997.009, 992.72, 989.819, 993.419, 986.95, 987.069
707.714, 959.693, 984.252, 994.53, 997.407, 994.86, 991.361, 990.099, 987.6, 986.777
695.894, 962.927, 982.962, 991.08, 997.208, 996.347, 994.883, 994.159, 994.805, 986.777
707.714, 957.396, 983.284, 992.802, 997.606, 997.009, 994.742, 991.326, 991.299, 985.416
678.887, 960.615, 983.607, 993.295, 998.004, 998.835, 996.583, 996.885, 990.862, 990.197
689.655, 958.773, 982.962, 993.542, 998.403, 997.34, 994.318, 989.609, 990.535, 989.511
655.738, 957.854, 985.222, 994.283, 995.818, 992.392, 992.908, 994.406, 989.555, 985.125
645.995, 988.631, 1016.95, 1029.34, 1032.2, 1033.59, 1033.52, 1034.93, 1035.43, 1036.27
724.113, 964.32, 989.12, 998.752, 1004.22, 1003.01, 1004.74, 1005.15, 1005.81, 1006.75
714.796, 962.001, 986.518, 995.768, 1000.4, 999.5, 1001.14, 1003.64, 1002, 1003.81
683.527, 960.154, 982.318, 993.295, 998.203, 998.668, 999.714, 1000.25, 999.889, 996.214
686.813, 962.927, 982.318, 992.063, 997.009, 997.175, 995.733, 995.768, 993.268, 993.838
681.663, 960.615, 983.284, 992.556, 998.801, 995.52, 992.204, 992.433, 988.685, 987.654
678.887, 961.076, 983.607, 991.572, 998.403, 993.049, 991.361, 992.187, 987.275, 987.654
698.812, 961.076, 984.898, 992.31, 994.431, 991.572, 994.459, 989.854, 988.468, 989.12
686.813, 959.693, 983.607, 992.556, 997.009, 996.843, 996.441, 993.049, 991.954, 984.543
685.871, 962.464, 982.318, 991.818, 996.413, 993.049, 992.908, 991.08, 987.817, 984.931
650.618, 961.538, 988.468, 992.802, 1000.4, 999.5, 1000.14, 1003.01, 1001.11, 998.801
712.251, 960.615, 982.64, 992.063, 998.203, 993.377, 989.399, 988.509, 985.437, 981.547
674.764, 985.707, 1009.76, 1022.49, 1024.8, 1025.99, 1027.75, 1026.17, 1025.52, 1027.01
698.812, 963.391, 988.142, 996.264, 1001.4, 999.833, 1001.14, 1003.26, 1003.68, 1005.23
718.391, 960.615, 984.898, 993.049, 997.805, 996.512, 998.289, 999.75, 998.225, 997.705
711.744, 959.233, 982.64, 994.53, 994.827, 996.347, 994.036, 993.172, 993.049, 989.903
699.79, 958.773, 983.607, 994.283, 996.81, 996.678, 993.19, 994.53, 990.753, 987.069
679.81, 956.023, 983.284, 994.036, 996.214, 994.53, 993.049, 991.326, 992.173, 986.388
695.894, 957.396, 983.929, 993.542, 995.421, 994.695, 993.754, 993.912, 989.228, 990.295
696.379, 960.154, 982.962, 992.31, 998.004, 995.851, 993.049, 990.099, 990.099, 986.485
672.495, 960.615, 982.64, 993.542, 997.208, 996.181, 993.612, 995.52, 989.99, 988.142
676.59, 964.785, 982.318, 990.099, 996.81, 994.2, 994.036, 995.52, 987.817, 989.218
692.521, 958.773, 981.997, 992.802, 995.818, 990.753, 994.036, 992.063, 989.011, 987.849
678.887, 960.615, 982.64, 993.049, 996.612, 993.213, 994.036, 993.665, 986.193, 984.155
