1, 2, 3, 4, 5, 6, 7, 8, 9, 10
266.596, 312.744, 331.309, 340.078, 345.543, 348.736, 351.989, 355.382, 358.138, 359.337
263.574, 315.457, 333.185, 343.348, 348.068, 350.038, 353.947, 357.814, 358.666, 360.205
269.469, 314.07, 331.602, 341.588, 346.572, 348.655, 352.237, 354.972, 358.352, 360.257
268.384, 314.317, 331.932, 341.064, 347.971, 348.837, 351.6, 354.783, 357.03, 359.131
269.107, 313.136, 329.381, 339.472, 346.741, 348.27, 351.088, 353.967, 358.18, 358.205
264.831, 314.169, 331.053, 340.774, 345.328, 346.58, 351.229, 354.296, 356.013, 359.596
282.486, 313.332, 330.724, 340.368, 346.356, 348.493, 351.6, 354.327, 357.384, 360.542
281.849, 313.43, 332.226, 340.919, 345.471, 348.493, 351.459, 355.635, 358.309, 358.963
267.023, 312.11, 330.834, 339.876, 345.781, 347.625, 351.353, 354.814, 357.554, 360.399
284.495, 315.358, 334.709, 344.679, 350.951, 352.568, 355.528, 359.066, 361.127, 363.636
266.738, 314.416, 332.41, 341.006, 345.853, 349.671, 351.953, 354.469, 357.228, 359.467
269.179, 314.021, 330.36, 340.02, 346.476, 347.443, 351.688, 355.872, 358.766, 360.257
277.701, 319.336, 338.562, 349.162, 356.201, 357.164, 360.416, 364.083, 366.494, 368.65
287.026, 318.421, 337.42, 346.951, 352.162, 353.523, 356.979, 360.004, 362.64, 363.755
267.38, 316.807, 333.222, 343.053, 349.675, 351.309, 354.269, 357.43, 358.78, 361.821
277.008, 312.94, 332.594, 341.91, 346.476, 348.189, 352.485, 356.046, 359.195, 361.05
258.198, 312.842, 331.455, 340.861, 347.367, 347.262, 353.179, 356.379, 358.566, 359.984
268.168, 312.549, 331.565, 340.657, 345.089, 346.36, 351.37, 354.547, 357.611, 358.873
266.88, 314.07, 330.87, 340.541, 344.305, 346.861, 350.807, 354.594, 358.523, 358.616
280.662, 310.126, 331.089, 339.357, 346.548, 347.464, 352.272, 355.303, 357.768, 359.428
269.687, 313.087, 330.797, 339.76, 345.877, 348.837, 351.741, 355.271, 357.313, 358.41
254.777, 313.873, 330.87, 340.599, 344.709, 345.981, 351.794, 355.445, 357.015, 361.246
266.454, 314.762, 331.382, 340.339, 346.38, 347.927, 349.685, 354.123, 357.228, 359.441
267.666, 312.989, 331.932, 339.703, 345.256, 347.082, 350.719, 354.469, 357.498, 359.79
260.146, 319.132, 338.371, 347.917, 353.982, 355.598, 358.441, 362.762, 364.491, 366.032
266.667, 316.356, 334.523, 344.738, 350.631, 352.03, 354.628, 358.102, 360.389, 361.952
267.308, 313.038, 332.484, 340.803, 346.837, 349.02, 352.645, 356.284, 357.853, 361.285
275.938, 310.704, 330.579, 340.483, 345.662, 347.222, 352.006, 354.972, 357.242, 360.321
277.546, 313.775, 330.469, 341.939, 346.428, 348.756, 351.794, 355.619, 356.888, 360.36
265.957, 314.564, 330.907, 340.455, 347.198, 348.23, 351.706, 354.72, 357.881, 359.183
277.085, 312.256, 331.053, 339.127, 345.328, 347.745, 351.124, 355.745, 357.824, 359.751
267.023, 314.564, 331.895, 339.098, 346.117, 345.841, 350.018, 354.531, 356.789, 359.247
264.62, 313.676, 331.932, 339.789, 345.973, 348.29, 351.3, 354.641, 357.81, 358.963
266.809, 312.891, 330.724, 339.184, 346.861, 348.736, 350.649, 354.045, 355.52, 358.359
267.165, 314.812, 331.712, 341.559, 346.428, 348.716, 351.106, 353.576, 356.874, 359.028
274.801, 314.317, 331.418, 339.732, 345.662, 347.162, 350.948, 355.271, 357.185, 359.622
