1, 2, 3, 4, 5, 6, 7, 8, 9, 10
245.7, 250.878, 253.293, 254.923, 256.621, 257.124, 257.4, 257.898, 257.444, 257.347
238.949, 248.17, 251.025, 252.525, 253.1, 253.893, 254.407, 254.364, 254.626, 254.907
238.949, 247.433, 249.605, 251.256, 252.717, 252.621, 252.58, 252.757, 253.386, 254.02
239.349, 247.862, 249.087, 251.588, 252.08, 252.154, 252.498, 252.948, 253.286, 253.917
239.751, 247.127, 249.938, 251.335, 250.589, 252.111, 252.298, 252.884, 253.428, 253.595
240.848, 246.853, 249.169, 251.162, 250.438, 251.541, 252.143, 252.701, 253.008, 254.104
242.601, 246.245, 248.88, 250.391, 250.891, 251.214, 252.025, 252.845, 253.115, 253.685
241.138, 246.944, 249.958, 251.493, 251.547, 251.752, 252.89, 252.813, 253.108, 253.968
238.152, 247.709, 248.736, 251.398, 252.181, 251.615, 252.007, 252.876, 253.079, 254.046
237.925, 246.366, 248.406, 251.146, 251.75, 251.425, 252.316, 252.757, 253.1, 253.325
239.006, 246.245, 249.979, 250.925, 250.451, 251.298, 252.207, 253.133, 253.008, 253.614
238.777, 246.518, 249.896, 250.91, 250.551, 251.699, 252.27, 252.956, 253.407, 253.672
242.954, 253.293, 255.864, 257.616, 258.558, 259.157, 259.528, 259.707, 259.875, 259.626
242.014, 250.219, 252.951, 254.923, 255.754, 256.937, 257.098, 257.268, 257.607, 257.553
240.5, 249.252, 251.446, 253.245, 254.078, 254.259, 254.545, 255.224, 255.225, 255.343
239.636, 248.324, 250.438, 251.493, 252.908, 252.727, 252.662, 252.813, 253.428, 253.923
241.663, 247.127, 248.818, 251.651, 251.509, 251.362, 252.125, 252.741, 253.058, 253.53
241.196, 247.005, 249.294, 251.335, 251.332, 251.383, 252.243, 252.749, 253.207, 253.53
239.866, 245.912, 249.314, 250.031, 250.451, 251.298, 252.143, 252.709, 253.271, 253.575
234.522, 244.768, 248.571, 251.225, 250.664, 251.256, 252.343, 252.845, 253.336, 253.82
238.436, 247.188, 249.667, 250.847, 250.401, 251.414, 252.307, 252.741, 253.279, 253.575
237.925, 246.336, 248.653, 250.172, 251.143, 251.414, 252.161, 252.725, 253.015, 253.299
240.269, 248.231, 249.667, 251.462, 252.245, 252.08, 252.644, 252.573, 252.923, 253.235
238.834, 246.518, 249.169, 250.564, 250.576, 251.393, 252.261, 252.565, 253.129, 253.408
244.858, 252.016, 254.626, 256.509, 257.785, 258.387, 258.493, 258.849, 259.015, 259.034
241.138, 250.156, 252.101, 253.791, 254.79, 255.145, 255.839, 255.967, 255.776, 256.266
243.546, 248.602, 250.146, 251.794, 253.216, 253.4, 253.073, 253.872, 253.972, 254.078
237.304, 246.548, 249.066, 251.762, 252.054, 252.016, 252.48, 253.349, 253.671, 253.723
239.578, 247.188, 249.294, 250.957, 251.623, 251.583, 252.28, 252.892, 253.129, 253.698
241.255, 247.31, 249.896, 251.636, 251.256, 251.298, 252.68, 252.852, 253.328, 253.306
236.686, 247.31, 250.396, 249.75, 250.601, 251.752, 252.562, 253.012, 253.307, 253.395
239.234, 247.647, 248.942, 251.209, 250.288, 251.298, 252.298, 253.068, 253.2, 253.44
241.663, 247.188, 249.626, 250.627, 250.438, 251.541, 252.189, 252.645, 253.051, 253.505
240.442, 246.154, 249.128, 250.532, 250.514, 251.404, 252.161, 252.717, 253.036, 253.197
238.55, 247.555, 248.385, 249.813, 250.614, 251.583, 252.307, 252.964, 253.072, 253.601
240.732, 246.975, 249.294, 250.501, 250.689, 251.267, 252.098, 252.717, 252.901, 253.627
