Throughput, High Missed, Low Missed, Acceptance Rate, Max Memory
235, 0, 0, 11.1111, 7.64252
224, 0, 1.23457, 8.37642, 7.61127
224, 0, 0, 8.27301, 7.59955
211, 0, 0, 5.01292, 7.664
220, 0, 0, 7.23888, 7.61127
239, 0, 0, 12.2544, 7.5683
232, 0, 0, 10.3413, 7.62299
238, 0, 0, 11.9835, 7.62885
233, 0, 0, 10.6515, 7.60736
231, 0, 0, 10.1344, 7.6015
222, 0, 0, 7.95866, 7.63275
222, 0, 0, 7.95455, 7.60345
231, 0, 0, 10.1861, 7.60345
231, 0, 0, 10.1809, 7.56049
211, 0, 0, 5.01292, 7.6308
212, 0, 0.990099, 5.21964, 7.63275
211, 0, 2.04082, 5.0646, 7.61517
210, 0, 0, 4.80372, 7.61322
220, 0, 0, 7.44571, 7.58392
215, 0, 0, 6.09819, 7.61322
222, 0, 0, 7.75595, 7.63666
217, 0, 2.32558, 6.66667, 7.5722
229, 0, 0, 9.57062, 7.6347
254, 0, 0, 16.1324, 7.5722
251, 0, 0, 15.2534, 7.66986
