Throughput, High Missed, Low Missed, Acceptance Rate, Max Memory
192, 0, 0, 0.103306, 5.29681
192, 0, 0, 0.103306, 5.29681
197, 0, 11.5385, 1.34298, 5.29681
221, 0, 0.39604, 26.1523, 5.06049
220, 0, 1, 25.8799, 5.06049
215, 0, 0.419287, 24.6894, 5.06049
222, 0, 0.195695, 26.4493, 5.06049
207, 0, 1.14679, 22.5556, 5.06049
217, 0, 0.410678, 25.2201, 5.06049
223, 0, 1.16505, 26.6701, 5.06049
207, 13.8542, 12.6582, 4.08058, 5.03119
203, 0, 3.38983, 3.05067, 5.03119
208, 0, 2.38095, 4.34109, 5.03119
198, 8.15047, 23.5294, 1.7562, 5.03119
