Throughput, High Missed, Low Missed, Acceptance Rate, Max Memory
102, 0, 2.63158, 31.47, 8.06439
104, 0.277778, 4.96894, 33.3333, 8.06439
114, 0.694444, 7.05882, 44.2708, 8.06439
93, 0, 0.943396, 21.9462, 8.70892
136, 1.94444, 0, 66.875, 10.3652
95, 2.77778, 1.69492, 24.4306, 10.5253
91, 1.94444, 2.0202, 20.4969, 10.2245
115, 0, 0.460829, 45.0207, 9.40424
103, 0, 0.632911, 32.7122, 9.37494
89, 0, 2.24719, 18.4647, 9.33197
119, 0, 0.847458, 49.0644, 9.71088
95, 3.33333, 2.54237, 24.4306, 10.5214
126, 3.05556, 3.28467, 56.9647, 9.414
