Throughput, High Missed, Low Missed, Acceptance Rate, Max Memory
395, 0, 0.2443, 74.4242, 8.06439
402, 0, 0.31746, 76.3636, 8.06439
375, 0, 1.10865, 68.3333, 8.06439
425, 0, 0.217865, 83.4545, 8.70892
302, 1.06667, 2.22805, 46.2424, 10.3652
430, 1.33333, 1.35617, 84.9091, 10.5253
302, 1.33333, 3.14136, 46.303, 10.2245
393, 0, 0, 73.6364, 9.40424
326, 0, 0.113122, 53.5758, 9.37494
371, 0, 0.180668, 67.0909, 9.33197
399, 0, 0.160256, 75.6364, 9.71088
415, 1.33333, 2.0316, 80.5455, 10.5214
365, 1.73333, 1.30112, 65.2121, 9.414
