Throughput, High Missed, Low Missed, Acceptance Rate, Max Memory
1052, 0, 0.628711, 59.6458, 6.99408
1060, 0, 0.241379, 60.4167, 6.99408
1045, 0, 0.79646, 58.8542, 6.99408
1039, 0, 0.500715, 58.25, 6.99408
1056, 0, 0.312392, 60.0208, 6.99408
1038, 0, 0.609101, 58.1458, 6.99408
1049, 0, 0.807301, 59.3542, 6.99408
1055, 0, 0.521014, 59.9792, 6.99408
1050, 0, 0.315457, 59.4375, 6.99408
1047, 0, 0.810144, 59.1458, 6.99408
1053, 0, 0.802232, 59.7292, 6.99408
1055, 0, 0.451703, 59.9583, 6.99408
1075, 0, 0.335796, 62.0417, 6.99408
