Throughput, High Missed, Low Missed, Acceptance Rate, Max Memory
1147, 0, 14.8426, 70.7767, 8.59369
1144, 0, 17.1334, 69.608, 8.59369
1131, 0, 0.0614439, 67.8125, 8.59369
1141, 0, 0.181433, 68.8958, 8.59369
1138, 0, 14.9666, 69.4937, 8.59369
1107, 0, 0, 65.3542, 8.59369
1135, 0, 1.03722, 68.2917, 8.59369
1124, 0, 21.7122, 67.8308, 8.59369
1125, 0, 0.0930233, 67.1875, 8.59369
1108, 0, 0.0954502, 65.4792, 8.59369
1131, 0, 0.122812, 67.8542, 8.59369
1089, 0, 0.295372, 63.4792, 8.59369
1117, 0, 0.219505, 66.4375, 8.59369
